fold,sensing,placement,N,basis,estimator,sigma_p,sigma_so,draw,rmse_p,rmse_so
P2-run1,wells-joint,DG-POD,10,POD,L1,2.0,0.05,9,14.076755351621676,0.024060780801096148
P2-run1,wells-joint,DG-POD,30,none,IDW,0.0,0.0,0,0.43160080720651434,0.0005037339362595739
P2-run1,wells-joint,DG-POD,30,POD,LS,0.0,0.0,0,0.08060812735974805,0.0010527739840201702
P2-run1,wells-joint,DG-POD,30,POD,L1,0.0,0.0,0,0.6990942491702639,0.008291516125055482
P2-run1,wells-joint,DG-POD,30,none,IDW,0.1,0.005,0,0.43367079713324386,0.0021030261421652796
P2-run1,wells-joint,DG-POD,30,POD,LS,0.1,0.005,0,0.11814955856136955,0.001306162566666808
P2-run1,wells-joint,DG-POD,30,POD,L1,0.1,0.005,0,0.7016722338161655,0.008280859449754248
P2-run1,wells-joint,DG-POD,30,none,IDW,0.1,0.005,1,0.43500205135691566,0.0021602220792086508
P2-run1,wells-joint,DG-POD,30,POD,LS,0.1,0.005,1,0.1240942517519603,0.0013140628979161366
P2-run1,wells-joint,DG-POD,30,POD,L1,0.1,0.005,1,0.7006746715158312,0.008243651953117269
P2-run1,wells-joint,DG-POD,30,none,IDW,0.1,0.005,2,0.4333310494261648,0.0020283477861713266
P2-run1,wells-joint,DG-POD,30,POD,LS,0.1,0.005,2,0.11495691743419081,0.00124185655159082
P2-run1,wells-joint,DG-POD,30,POD,L1,0.1,0.005,2,0.7043617617930586,0.008335412243937343
P2-run1,wells-joint,DG-POD,30,none,IDW,0.1,0.005,3,0.4332987850126245,0.0020670531308330416
P2-run1,wells-joint,DG-POD,30,POD,LS,0.1,0.005,3,0.11428954630738151,0.001312847956095328
